"Recurso","Acceso","Texto Completo","Tipo de Recurso","Clasificación/Más información"
"Bartleby. Great books online","Abierto","Completo","Biblioteca Digital","Más información"
"Base de Datos de Historia Económica de América Latina Montevideo-Oxford","Abierto","Completo","Estadísticas","Más información"
"Base de datos de las Conferencias Panamericanas (1889-1938)","Abierto","Referencia","Bibliografía","Más información"
"Base de datos del Centro de Estudios Biográficos","Abierto","Parcial","Guías  , Diccionarios","Más información"
"BBC News","Abierto","Parcial","Periódicos","Más información"
"Biblioteca Ayacucho Digital","Abierto","Completo","Biblioteca Digital","Más información"
"Biblioteca Digital Andina","Abierto","Completo","Biblioteca Digital","Más información"
"Biblioteca Digital de la Agencia Española de Cooperación Internacional para el Desarrollo","Abierto","Completo","Biblioteca Digital","Más información"
"Biblioteca digital de la Real Academia de la Historia (España)","Abierto","Completo","Biblioteca Digital  , Fuentes Primarias  , Recurs...","Más información"
"Biblioteca digital de la Secretaría de Educación de Veracruz","Abierto","Completo","Biblioteca Digital","Más información"
"Biblioteca Digital del Patrimonio Iberoamericano","Abierto","Parcial","Mapas  , Fotografías  , Biblioteca Digital","Más información"
"Biblioteca digital hispánica (BNE)","Abierto","Completo","Videos  , Revistas  , Mapas  , Fotografías  , Bi...","Más información"
"Biblioteca Digital Mexicana","Abierto","Completo","Biblioteca Digital  , Fotografías  , Fuentes Pri...","Más información"
"Biblioteca digital mundial","Abierto","Completo","Fotografías  , Biblioteca Digital","Más información"
"Biblioteca digital. Universidad Iberoamericana","Abierto","Parcial","Biblioteca Digital","Más información"
"Biblioteca Histórica José María Lafragua","Abierto","Parcial","Biblioteca Digital  , Catálogos de Bibliotecas","Más información"
"Biblioteca Jurídica Virtual","Abierto","Completo","Libros Electrónicos  , Documentos de Trabajo  , ...","Más información"
"Biblioteca Nacional de Antropología e Historia","Abierto","Referencia","Catálogos de Bibliotecas","Más información"
"Biblioteca Nacional de España","Abierto","Parcial","Catálogos de Bibliotecas","Más información"
"Biblioteca Nacional de México","Abierto","Referencia","Catálogos de Bibliotecas","Más información"
"Biblioteca Virtual de Defensa","Abierto","Completo","Biblioteca Digital","Más información"
"Biblioteca Virtual de Historia Constitucional "Francisco Martínez Marina"","Abierto","Completo","Biblioteca Digital","Más información"
"Biblioteca Virtual de Patrimonio Bibliográfico","Abierto","Completo","Biblioteca Digital","Más información"
"Biblioteca Virtual de Prensa Histórica","Abierto","Completo","Periódicos  , Revistas","Más información"
"Biblioteca Virtual Miguel de Cervantes","Abierto","Completo","Biblioteca Digital","Más información"
"Biblioteca Virtual. Biblioteca Luis Ángel Arango","Abierto","Parcial","Videos  , Imágenes  , Biblioteca Digital","Más información"
"Boletín Bibliográfico – Secretaría de Hacienda y Crédito Público (1954-1957)","Abierto","Completo","Revistas  , Bibliografía  , Reseñas","Más información"
"Border and Latin American Information","Abierto","Parcial","Guías","Más información"
"Brasiliana electrônica","Abierto","Completo","Libros Electrónicos","Más información"
"Britannica : the online encyclopedia","Cerrado","Completo","Enciclopedias","Más información"
"British politics and society","Cerrado","Completo","Periódicos","Más información"
"Cairn.info","Cerrado","Parcial","Revistas  , Libros Electrónicos","Más información"
"Cajas de la Real Hacienda de la América española, siglos XVI a principios del siglo XIX","Abierto","Parcial","Estadísticas","Más información"
"Cambridge Journals","Cerrado","Completo","Revistas","Más información"
"Caravelle","Cerrado","Completo","Revistas","980/C262 Más información"
"Caribbean abstracts","Abierto","Referencia","Resúmenes","Más información"
"Cartografía de Brasil (1700-1822)","Abierto","No Aplica","Mapas","Más información"
"Catálogo Biblioteca Palafoxiana","Abierto","Referencia","Catálogos de Bibliotecas","Más información"
"Catálogo informatizado de la red de bibliotecas CSIC","Abierto","Parcial","Catálogos de Bibliotecas","Más información"
"Censo Guía de Archivos de España e Iberoamérica","Abierto","Referencia","Directorios  , Guías","Más información"
"Center for Research Libraries: LAMP","Cerrado","Parcial","Biblioteca Digital","Más información"
"Centro de Estudios de Historia de México (CARSO)","Abierto","Parcial","Centro de Investigación  , Bibliotecas  , Recurs...","Más información"
"Centro de Estudios Políticos y Constitucionales","Cerrado","Parcial","Artículos de Revistas  , Biblioteca Digital","Más información"
"Choice reviews online","Cerrado","Completo","Revistas  , Reseñas","016.7805/Ch545 Más información"
"Colección Digital UANL","Abierto","Completo","Imágenes  , Fuentes Primarias  , Biblioteca Digi...","Más información"
"Colecciones Digitales del Instituto Ibero-Americano","Abierto","Completo","Biblioteca Digital","Más información"
"Colecciones mexicanas","Abierto","Parcial","Fuentes Primarias","Más información"
"Comité Mexicano de Ciencias Históricas","Abierto","Parcial","Organizaciones de Profesionales","Más información"
"Comparative Studies in Society and History","Cerrado","Completo","Revistas","305/C737 Más información"
"Compludoc  base de datos de artículos de revistas","Abierto","Referencia","Revistas  , Resúmenes","RE/016.05 Más información"
"Critique of Pure Reason","Abierto","Completo","Libros Electrónicos","Más información"
"David Rumsey Historical Map Collection","Abierto","No Aplica","Mapas","Más información"
"Dialnet","Abierto","Parcial","Revistas","RE/016.5 Más información"
"Diccionario biográfico del socialismo español (1879-1939) : serie I","Cerrado","No Aplica","Libros Electrónicos","REF/335.094609203 D5452 Más información"
"Digital Archive of Latin American and Caribbean Ephemera","Abierto","Completo","Biblioteca Digital","Más información"
"Documentos Revelados","Cerrado","Parcial","Recursos Archivísticos","Más información"
"E-Textos Instituto de Altos Estudios Universitarios","Cerrado","Completo","Biblioteca Digital","Más información"
"EBSCO Host Bases de datos","Cerrado","Parcial","Reseñas  , Recursos Bibliotecológicos  , Imáge...","Más información"
"Economic History Association","Abierto","Referencia","Organizaciones de Profesionales","Más información"
"EduDonor Index (Worldwide Directory of Grants for Educational Institutions)","Cerrado","No Aplica","Financiamiento & Becas","Más información"
"EduScholarships Index  (Worldwide Directory of Scholarships for Students)","Cerrado","No Aplica","Financiamiento & Becas","Más información"
"Eighteenth Century Collections Online II","Cerrado","Completo","Biblioteca Digital","Más información"
"Electronic Collection Online","Cerrado","Referencia","Revistas","Más información"
"Erudit","Abierto","Completo","Biblioteca Digital","Más información"
"Españoles deportados a los campos nazis (1940-1945)","Abierto","Referencia","Guías","Más información"
"ESRC Economic and Social Research Council","Abierto","No Aplica","Financiamiento & Becas","Más información"
"Estadão de São Paulo","Abierto","Completo","Periódicos","Más información"
"Estudios de Historia Moderna y Contemporánea de México","Abierto","Completo","Revistas","972.005/E82 Más información"
"European History Primary Sources","Abierto","Completo","Fuentes Primarias","Más información"
"Europeana","Abierto","Completo","Recursos Archivísticos  , Libros Electrónicos  ...","Más información"
"Fondo Antiguo. Universidad de Sevilla","Abierto","Completo","Biblioteca Digital","Más información"
"Fondo Histórico Digital de La Rábida","Abierto","Completo","Biblioteca Digital  , Revistas","Más información"
"Fonoteca Nacional de México","Abierto","Parcial","Audio","Más información"
"Fuente académica","Cerrado","Completo","Revistas","Más información"
"Fuentes de información en ciencias sociales y humanidades","Abierto","Completo","Guías  , Bibliografía","REF/016.3/G2455f Más información"
"Fuentes para la historia del petróleo en México","Abierto","Parcial","Fotografías  , Bibliografía  , Libros Electrón...","Más información"
"Gale Primary Sources","Cerrado","Completo","Periódicos  , Recursos Archivísticos","Más información"
"Global Collections Initiative","Cerrado","Parcial","Biblioteca Digital  , Fuentes Primarias  , Perió...","Más información"
"Grabaciones mexicanas José Guadalupe Posada (1854-1913)","Abierto","Completo","Libros Electrónicos","Más información"
"Guía de Memorias de Hacienda 1822-1910","Abierto","Parcial","Estadísticas  , Biografías  , Bibliografía","Más información"
"Hemeroteca digital (BNE)","Abierto","Completo","Revistas  , Periódicos  , Recursos Archivísticos","Más información"
"Hemeroteca Digital de la Biblioteca Nacional de España","Cerrado","Parcial","Biblioteca Digital","Más información"
"Hemeroteca Nacional de México","Abierto","Referencia","Revistas  , Periódicos  , Catálogos de Bibliote...","Más información"
"Historia Mexicana","Cerrado","Completo","Revistas","972.005/H673 Más información"
"Historical Census Browser","Abierto","Completo","Estadísticas","Más información"
"Historical Maps Online","Abierto","Completo","Mapas","Más información"
"Historical Methods: A Journal of Quantitative and Interdisciplinary History","Cerrado","Completo","Revistas","305/H6735   Más información"
"History and Computing","Abierto","Completo","Revistas","907.205/H6731 Más información"
"HLAS Handbook of Latin American Studies Online","Abierto","Referencia","Bibliografía","Más información"
"Impresos americanos del Siglo  XVI en las bibliotecas del mundo","Abierto","Completo","Biblioteca Digital","Más información"
"Impresos mexicanos del siglo XVI","Abierto","Completo","Libros Electrónicos","Más información"
"Independencia de América: fuentes para su estudio: catálogo de documentos conservados en el Archivo General de Indias","Abierto","Referencia","Recursos Archivísticos","Más información"
"Índice Histórico Español","Abierto","Parcial","Revistas","016.946/In39  Más información"
"Instituto de Investigaciones Históricas. UNAM","Abierto","Parcial","Centro de Investigación","Más información"
"Instituto de Investigaciones. Dr. José María Luis Mora","Abierto","Parcial","Centro de Investigación","Más información"
"Instituto Nacional de Estudios Históricos de las Revoluciones de Mexico","Abierto","Parcial","Centro de Investigación","Más información"
"International  Labor and Working Class History","Cerrado","Completo","Revistas","331.1105/In61 Más información"
"International Medieval Bibliography","Abierto","Referencia","Revistas","016.909/In61 Más información"
"Internet Ancient History Sourcebook","Cerrado","Completo","Biblioteca Digital","Más información"
"Istor Revista de Historia Internacional","Cerrado","Completo","Revistas","905/Is875 Más información"
"John Simon Guggenheim Memorial Foundation","Abierto","Referencia","Financiamiento & Becas","Más información"
"Journal of Family History","Cerrado","Completo","Revistas","301.4205/J861 Más información"
"Journal of Global History","Abierto","Completo","Revistas","Más información"
"Journal of Historical Sociology","Cerrado","Completo","Revistas","301.0905/J863 Más información"
"Journal of Interdisciplinary History","Cerrado","Completo","Revistas","905/J86 Más información"
"Journal of World History","Cerrado","Completo","Revistas","905/J868 Más información"
"La época de las independencias, 1808-1830. Hispanoamérica: guía de recursos bibliográficos","Abierto","Parcial","Bibliografía  , Periódicos  , Recursos Archiví...","Más información"
"Labor History","Cerrado","Completo","Revistas","331.1105/L123 Más información"
"Latin America and the Caribbean : a critical guide to research sources","Cerrado","Completo","Bibliografía","REF/016.98/L3571 Más información"
"Latin American Newspapers Series I-II","Cerrado","Completo","Periódicos","Más información"
"Latindex  Sistema Regional de Información en Línea para Revistas Científicas de América Latina, el Caribe, España y Portugal","Abierto","Parcial","Revistas","Más información"
"Le Monde","Abierto","Parcial","Periódicos","Más información"
"Lectures of the Industrial Revolution in England","Abierto","Completo","Libros Electrónicos","Más información"
"Legislación Mexicana","Cerrado","Completo","Revistas  , Recursos Archivísticos","Más información"
"Library of Congress","Abierto","Parcial","Audio  , Bibliografía  , Biblioteca Digital  , D...","Más información"
"Librunam","Abierto","Referencia","Catálogos de Bibliotecas","Más información"
"Los carteles de la guerra civil española","Abierto","No Aplica","Recursos Archivísticos","Más información"
"Making of the Modern World","Cerrado","Completo","Recursos Archivísticos  , Periódicos  , Libros ...","Más información"
"Map and Imagery Collections","Cerrado","Parcial","Mapas  , Imágenes","Más información"
"Map History / History of Cartography","Abierto","Parcial","Mapas","Más información"
"Mapoteca del Fondo Familia Ponciano Aguilar","Abierto","Completo","Mapas","Más información"
"Mapping the World: Maps and Travel Literature","Cerrado","Completo","Mapas","Más información"
"Mediateca Digital COLMEX","Abierto","No Aplica","Videos  , Audio","Más información"
"Mediatico.com","Abierto","Parcial","Periódicos","Más información"
"Metabase  Bibliografía en red","Abierto","Referencia","Revistas","RE/016.9728 Más información"
"Mexican Archives at the Benson Latin American Collection","Abierto","Referencia","Guías","Más información"
"Mexican Studies/Estudios Mexicanos","Cerrado","Completo","Revistas","972.005/M611 Más información"
"Microsoft Academic Search","Abierto","Parcial","Revistas  , Falta determinar  , Artículos de Rev...","Más información"
"Milenio","Abierto","Parcial","Periódicos","Más información"
"MIT OpenCourseWare","Abierto","No Aplica","Falta determinar","Más información"
"Movimientos Migratorios Iberoamericanos","Abierto","Completo","Recursos Archivísticos","Más información"
"National Archives (Estados Unidos)","Abierto","Parcial","Recursos Archivísticos","Más información"
"Nettie Lee Benson Latin American Collection","Abierto","Parcial","Biblioteca Digital","Más información"
"New York Times, The","Abierto","Parcial","Periódicos","Más información"
"Nineteenth Century Collections Online","Cerrado","Completo","Periódicos  , Imágenes  , Fotografías  , Artí...","Más información"
"Nueva corónica [sic] y buen gobierno","Abierto","Completo","Fuentes Primarias","Más información"
"NYPL Digital Gallery","Cerrado","Parcial","Videos  , Imágenes  , Fotografías","Más información"
"OAIster","Cerrado","Completo","Biblioteca Digital","Más información"
"OAPEN","Abierto","Completo","Libros Electrónicos  , Biblioteca Digital","Más información"
"OASIS.Br","Abierto","Parcial","Revistas  , Artículos de Revistas","RE/016.05 Más información"
"OCLC FirstSearch","Cerrado","Parcial","Revistas","Más información"
"Organization of American Historians","Abierto","Referencia","Organizaciones de Profesionales","Más información"
"Oxford Bibliographies","Cerrado","Referencia","Bibliografía","RE/025.063016  Más información"
"Oxford Handbooks Online","Cerrado","Parcial","Libros Electrónicos","Más información"
"Oxford Handbooks Online: History","Cerrado","Completo","Libros Electrónicos","Más información"
"Oxford Journals","Cerrado","Completo","Revistas","Más información"
"Paper of Record","Cerrado","Completo","Periódicos","Más información"
"Periódica  Índice de revistas latinoamericanas en ciencias","Abierto","Referencia","Revistas","IND/016.5/P445 Más información"
"Perry-Castañeda Library. Map Collection","Abierto","Completo","Mapas","Más información"
"Persée","Abierto","Completo","Documentos de Trabajo  , Artículos de Revistas","Más información"
"Perseus Digital Library","Abierto","Completo","Biblioteca Digital","Más información"
"Popol Vuh","Abierto","Completo","Libros Electrónicos","Más información"
"Portal de Archivos Españoles (PARES)","Abierto","Parcial","Recursos Archivísticos","Más información"
"Portal de economía global","Abierto","Parcial","Reportes Técnicos  , Publicaciones Oficiales  , ...","Más información"
"Portal de Víctimas de la Guerra Civil y Represaliados del Franquismo","Abierto","Referencia","Recursos Archivísticos","Más información"
"Principles of War","Abierto","Completo","Libros Electrónicos","Más información"
"Real Academia de la Historia. Biblioteca Digital","Abierto","Completo","Biblioteca Digital","Más información"
"Red de bibliotecas virtuales de ciencias sociales de América Latina y el Caribe (CLACSO)","Abierto","Completo","Biblioteca Digital","Más información"
"Red de Repositorios Latinoamericanos","Abierto","Completo","Biblioteca Digital  , Libros Electrónicos","Más información"
"Red Europea de Información y Documentación sobre América Latina (REDIAL)","Abierto","Parcial","Revistas  , Bibliografía","Más información"
"Redalyc  Red de revistas científicas de América Latina, el Caribe, España y Portugal","Abierto","Parcial","Revistas","Más información"
"Reforma","Abierto","Parcial","Periódicos","Más información"
"Renaissance Quarterly","Cerrado","Parcial","Revistas","914.021/R393 Más información"
"Repositories of Primary Sources","Abierto","Parcial","Recursos Archivísticos  , Libros Electrónicos  ...","Más información"
"Reviews in History","Abierto","Referencia","Reseñas","Más información"
"Revista anthropos huellas del conocimiento","Cerrado","Completo","Revistas","914.6005/A628 Más información"
"Revista de Historia Económica","Abierto","Completo","Revistas","330.905/R4543 Más información"
"Revistas de El Colegio de México","Cerrado","Completo","Revistas","Más información"
"Revistas electrónicas de IES mexicanas","Abierto","Falta determinar","Biblioteca Digital","Más información"
"Rivista Storica Italiana","Abierto","Referencia","Revistas","945.005/R625 Más información"
"Ruy Mauro Marini: escritos","Abierto","Parcial","Artículos de Revistas  , Fuentes Primarias  , Li...","Más información"
"Sage Research Methods Online (SRMO)","Cerrado","Parcial","Documentos de Trabajo  , Artículos de Revistas","Más información"
"ScienceDirect","Cerrado","Parcial","Revistas","Más información"
"Scopus","Cerrado","Referencia","Bibliografía","Más información"
"SERIUNAM","Abierto","Referencia","Revistas","Más información"
"Servicio de prensa mexicana","Abierto","Referencia","Revistas  , Periódicos","Más información"
"Social Sciences Full Text (H.W. Wilson)","Cerrado","Parcial","Revistas","Más información"
"Social services abstracts","Cerrado","Parcial","Revistas","RE/016.361 Más información"
"Somni : Col.lecció digital de fons històric","Cerrado","Completo","Biblioteca Digital","Más información"
"Springer eBooks (Recurso contratado por CONRICyT)","Cerrado","Completo","Libros Electrónicos","Más información"
"Springer Link","Cerrado","Completo","Libros Electrónicos  , Revistas","Más información"
"Studi Storici","Cerrado","Referencia","Revistas","945.005/S933 Más información"
"Tablas de contenido y revistas en texto completo","Cerrado","Parcial","Revistas","Más información"
"Tesis COLMEX","Abierto","Completo","Biblioteca Digital","Más información"
"Tesis Digitales Universidad Iberoamericana","Abierto","Completo","Biblioteca Digital  , Catálogos de Bibliotecas","Más información"
"The American Historical Association's guide to historical literature","Cerrado","Completo","Bibliografía","016.9/ A512g/1995 Más información"
"The American Historical Review","Cerrado","Completo","Revistas","905/A512 Más información"
"The Americas","Cerrado","Completo","Revistas","970.05/A512 Más información"
"The Andrew W. Mellon Foundation","Abierto","No Aplica","Financiamiento & Becas","Más información"
"The Athenian Constitution","Abierto","Completo","Libros Electrónicos","Más información"
"The Business History Review","Abierto","Completo","Revistas","658.09/B979 Más información"
"The Code of Hammurabi","Abierto","Completo","Libros Electrónicos","Más información"
"The European Library","Abierto","Parcial","Videos  , Recursos Archivísticos  , Audio  , Lib...","Más información"
"The Hispanic American Historical Review","Cerrado","Completo","Revistas","980/H6731 Más información"
"The Journal of American History","Cerrado","Completo","Revistas","973.05/J86 Más información"
"The Mapas project","Cerrado","No Aplica","Fuentes Primarias  , Mapas","Más información"
"The Networked Digital Library of Theses and Dissertations (NDLTD)","Abierto","Parcial","Biblioteca Digital","Más información"
"The Nineteenth Century in Print","Abierto","Completo","Periódicos  , Revistas  , Fuentes Primarias","Más información"
"The Online Books Page","Cerrado","Parcial","Biblioteca Digital","Más información"
"The Sixteenth Century Journal","Cerrado","Completo","Revistas","940.205/S625 Más información"
"The William and Mary Quarterly","Cerrado","Completo","Revistas","Más información"
"The World Wide Web Virtual Library. History Central Catalogue","Abierto","Parcial","Guías","Más información"
"The WWW Virtual Library : History","Abierto","Parcial","Guías","Más información"
"UNdata","Abierto","Completo","Información Geográfica  , Estadísticas","Más información"
"United States and Brazil: expanding frontiers, expanding cultures","Cerrado","Parcial","Biblioteca Digital","Más información"
"University of Pittsburgh Press Digital Editions","Abierto","Completo","Biblioteca Digital","Más información"
"University of Wisconsin Digital Collections","Abierto","Completo","Biblioteca Digital  , Fotografías","Más información"
"Venezuela","Abierto","Completo","Audio  , Bibliografía  , Biblioteca Digital  , F...","Más información"
"Washington Post, The","Abierto","Parcial","Periódicos","Más información"
"Web of science","Cerrado","Referencia","Revistas  , Reseñas","Más información"
"Wiley InterScience","Cerrado","Completo","Revistas  , Reseñas","Más información"
"Wiley Online Library","Cerrado","Completo","Reseñas","Más información"
"Worldcat","Cerrado","Parcial","Catálogos de Bibliotecas","Más información"
"Writing history : a guide for students","Cerrado","Completo","Guías","907.2/S8845w/2009 Más información"
